Area Code;Area;Item Code;Item;Element Code;Element;Unit;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
5105;Western Africa;6815;Transport;7230;N2O emissions;kilotonnes;0,058588;0,06874;0,081564;0,072345;0,06436;0,069152;0,077859;0,098331;0,075311;0,103447;0,108793;0,117621;0,138815;0,138182;0,136034;0,136866;0,130737;0,13112;0,146901;0,153117;0,174257;0,170972;0,184181;0,249199;0,273001;0,264168;0,287573;0,287954;0,352584;0,280342
5200;Americas;6815;Transport;723113;Emissions (CO2eq) (AR5);kilotonnes;87758,83869;87661,89;90439,961;92109,70267;95910,33805;98599,36401;101852,2382;104472,6301;106858,1229;108528,6518;110381,8294;110834,2818;112077,9709;114679,5147;118526,2305;121379,0284;123726,1659;126861,2198;125082,619;121463,6762;127249,8546;130018,1084;131657,8028;133455,9389;134560,3923;135723,3094;136926,0207;136684,2932;137155,7095;144089,4661
5200;Americas;6815;Transport;7273;CO2 emissions;kilotonnes;84918,95587;84873,03454;87567,19375;89254,19921;92974,03059;95595,61385;98805,19911;101430,1827;103812,1132;105465,7482;107279,238;107824,1254;109111,1939;111761,566;115608,9281;118478,4166;120751,4819;123897,9063;122307,6527;118883,7765;124555,7964;127203,253;128861,8742;130610,6144;131682,6887;132777,4826;133955,9296;133741,7061;134176,8801;141217,2962
5200;Americas;6815;Transport;7225;CH4 emissions;kilotonnes;16,071804;15,725024;15,533541;15,170877;14,985255;14,679424;14,797172;14,749893;14,703058;14,352004;14,046455;13,693594;13,547771;13,790538;13,927343;13,958142;13,939048;14,033517;14,069956;13,823856;14,489324;14,846111;15,56633;15,668533;16,052296;16,146028;16,373952;16,291585;16,183818;15,270647
5200;Americas;6815;Transport;7230;N2O emissions;kilotonnes;9,018386;8,862471;9,199351;9,172524;9,497058;9,783873;9,934786;9,922454;9,940846;10,041689;10,223738;9,91221;9,763922;9,554014;9,53712;9,470882;9,752417;9,699528;8,984934;8,274837;8,63531;9,05345;8,905929;9,08153;9,163167;9,410332;9,477813;9,382727;9,530877;9,224875
5203;Northern America;6815;Transport;723113;Emissions (CO2eq) (AR5);kilotonnes;56794,02384;55335,24747;57323,35066;57663,74881;59795,78935;61277,74784;62526,78145;63513,7545;64444,2797;66385,99058;67631,36942;67584,78786;68742,32967;70315,287;71429,85291;72475,97724;73240,53654;73932,99911;70192,03368;67181,27924;69436,33413;69505,10697;67900,17781;69960,59449;69515,68135;71509,14992;71702,95983;71391,38682;73248,75094;75081,7426
5203;Northern America;6815;Transport;7273;CO2 emissions;kilotonnes;54400,53539;53008,1964;54924,1165;55299,9324;57367,1418;58797,71187;60034,3822;61044,13205;61984,50157;63899,11057;65105,66061;65158,07938;66362,31061;68015,80621;69162,39098;70250,71604;70962,54412;71691,86385;68165,36674;65346,95506;67545,33421;67529,04988;65993,29809;67999,40034;67543,069;69463,50843;69646,74753;69361,43842;71162,9185;73164,86773
5203;Northern America;6815;Transport;7225;CH4 emissions;kilotonnes;9,185877;8,43621;8,020756;7,349312;6,845275;6,302851;6,123983;5,946706;5,818789;5,673852;5,45249;5,31152;5,203543;5,091516;4,998183;4,826325;4,786014;4,754509;4,45817;4,288586;4,336634;4,269177;4,216725;4,275529;4,290817;4,433123;4,504751;4,484477;4,609235;3,366761
5203;Northern America;6815;Transport;7230;N2O emissions;kilotonnes;8,061449;7,889952;8,206238;8,143531;8,441433;8,692665;8,758218;8,690999;8,667366;8,784952;8,954864;8,596173;8,431396;8,139314;8,02835;7,887261;8,090506;7,954751;7,176748;6,468844;6,677638;7,005736;6,750232;6,948979;6,990451;7,250996;7,283318;7,186351;7,384052;6,877757
5204;Central America;6815;Transport;723113;Emissions (CO2eq) (AR5);kilotonnes;10118,7444;10780,23036;11104,38788;11414,76326;12105,30676;11314,17903;11583,2929;12109,46273;12535,29079;12895,96439;13412,11768;13753,28978;14116,0495;14904,37692;15626,52976;16586,15292;17425,0567;18524,52652;19101,12726;18847,76696;19252,16219;19330,12592;19431,13351;19261,20339;19506,29848;19761,64941;20534,2953;20124,20367;20222,65421;21936,27273
